Kepler ID,KOI Name,Discovery Quarter,Kepler Disposition,RA (J2000),Dec (J2000),Period,Transit Depth,Duration,Semi-major Axis,Eccentricity,r/R,a/R,Planet Radius,Teq,Teff,log(g),Stellar Radius,Stellar Mass,KOI count,Binary Discrimination
8972058,K00159.02,1,CANDIDATE,19 50 50.845,+45 15 42.92,2.4,79,1.41,0.04,0,0.01,4.89,1.33,1540,6069,4.3,1.19,1.04,2,0.65
5084942,K00161.01,1,CANDIDATE,19 08 12.414,+40 12 41.59,3.11,894,1.74,0.04,0,0.03,8.8,2.68,981,4915,4.55,0.8,0.84,1,0.78
8107380,K00162.01,1,CANDIDATE,19 40 39.316,+43 57 46.94,14.01,705,4.67,0.11,0,0.02,22.6,2.54,752,5817,4.45,0.96,0.95,1,2.88
9527915,K00165.01,1,CANDIDATE,19 29 56.865,+46 11 46.35,13.22,892,2.92,0.1,0,0.03,21.7,2.74,651,5221,4.53,0.81,0.82,1,0.96
2441495,K00166.01,1,CANDIDATE,19 24 05.244,+37 46 11.25,12.49,737,2.27,0.1,0,0.03,34.73,2.5,722,5386,4.43,0.91,0.81,1,0.66
11666881,K00167.01,1,CANDIDATE,19 37 51.336,+49 45 54.15,4.92,426,4.23,0.06,0,0.02,7.46,2.45,1246,6485,4.41,1.14,1.2,1,0.71
11512246,K00168.01,1,CANDIDATE,19 36 52.544,+49 28 45.20,10.74,411,6.21,0.1,0,0.02,13.5,3.69,1166,6142,3.97,1.87,1.19,3,0.6
11512246,K00168.02,1,CANDIDATE,19 36 52.544,+49 28 45.20,15.27,236,6.75,0.13,0,0.01,17,2.81,1036,6142,3.97,1.87,1.19,3,1.87
11512246,K00168.03,1,CANDIDATE,19 36 52.544,+49 28 45.20,7.11,118,5.36,0.08,0,0.01,10.22,1.95,1336,6142,3.97,1.87,1.19,3,0.1
7831264,K00171.01,1,CANDIDATE,19 38 58.096,+43 32 12.59,5.97,504,3.68,0.07,0,0.02,9.7,2.74,1170,6495,4.4,1.15,1.21,2,0.07
7831264,K00171.02,1,CANDIDATE,19 38 58.096,+43 32 12.59,13.07,256,3.2,0.12,0,0.02,16.3,2.12,902,6495,4.4,1.15,1.21,2,4.79
8692861,K00172.01,1,CANDIDATE,19 33 02.622,+44 52 08.00,13.72,589,5.15,0.11,0,0.02,18.1,2.21,734,5886,4.54,0.9,1,2,0.25
8692861,K00172.02,1,CANDIDATE,19 33 02.622,+44 52 08.00,242.47,275,12.31,0.76,0,0.02,123,1.54,281,5886,4.54,0.9,1,2,1.03
11402995,K00173.01,1,CANDIDATE,19 27 37.690,+49 15 43.38,10.06,453,4.48,0.09,0,0.02,17.5,2.48,905,5706,4.29,1.18,0.98,1,2.86
10810838,K00174.01,1,CANDIDATE,19 47 17.497,+48 06 27.19,56.35,1046,3.31,0.25,0,0.03,133.7,1.94,331,4768,4.68,0.63,0.68,1,1.93
6442377,K00176.01,1,CANDIDATE,19 26 35.222,+41 53 04.77,30.23,431,6.47,0.2,0,0.02,26.2,2.6,696,6568,4.39,1.18,1.23,1,1.01
6803202,K00177.01,1,CANDIDATE,19 52 42.532,+42 14 13.35,21.06,306,5.29,0.15,0,0.02,30.9,1.84,678,5758,4.38,1.06,1,1,2.12
9663113,K00179.01,1,CANDIDATE,19 48 10.898,+46 19 43.32,20.74,1102,10.99,0.15,0,0.03,10.28,3.7,707,6081,4.42,1.04,1.04,2,10.98
9663113,K00179.02,1,CANDIDATE,19 48 10.898,+46 19 43.32,572.4,1694,26.65,1.37,0,0.04,93.9,5,234,6081,4.42,1.04,1.04,2,4.66
9573539,K00180.01,1,CANDIDATE,18 57 34.629,+46 14 56.69,10.05,671,3.26,0.09,0,0.03,18,2.53,797,5680,4.5,0.92,0.99,1,2.08
9651668,K00183.01,1,CANDIDATE,19 31 25.378,+46 23 28.24,2.68,18148,2.67,0.04,0,0.12,8.63,12.4,1301,5976,4.52,0.93,1.03,1,0
12019440,K00186.01,1,CANDIDATE,19 39 59.114,+50 28 12.21,3.24,16552,3.03,0.04,0,0.12,9.14,12.3,1258,6089,4.5,0.97,1.06,1,2.45
5357901,K00188.01,1,CANDIDATE,19 21 25.928,+40 34 03.87,3.8,14553,2.24,0.04,0,0.11,14.4,8.3,914,5152,4.64,0.71,0.81,1,1.62
11391018,K00189.01,1,CANDIDATE,18 59 31.194,+49 16 01.17,30.36,21338,5.93,0.17,0,0.13,43.7,9.88,439,4905,4.6,0.7,0.71,1,0.73
5771719,K00190.01,1,CANDIDATE,18 58 35.728,+41 00 54.06,12.26,11350,4.71,0.1,0,0.11,14.82,17.2,914,5535,4.09,1.42,0.9,1,2.62
5972334,K00191.01,1,CANDIDATE,19 41 08.935,+41 13 19.05,15.36,14611,4.19,0.12,0,0.12,26.4,11,685,5696,4.52,0.88,0.93,4,0.72
5972334,K00191.02,1,CANDIDATE,19 41 08.935,+41 13 19.05,2.42,664,2.07,0.03,0,0.02,7.7,2.3,1277,5696,4.52,0.88,0.93,4,0.17
