J-K,H-K,J-H,Spectral Type,EW Na,EW Ca,H2OK2 Index
0.85,0.34,0.51,M6V,3.47,1.24,0.75
0.9,0.33,0.57,M5V,5.95,2.65,0.86
1.03,0.35,0.68,M6V,9.27,2.96,0.78
0.89,0.26,0.63,M5V,5.3,3.05,0.88
0.8,0.23,0.56,M4V,4.5,3.27,0.88
0.86,0.28,0.58,M4V,5.58,3.51,0.87
0.94,0.27,0.67,M4V,7.62,4.36,0.91
0.83,0.25,0.58,M4V,4.66,2.85,0.86
0.94,0.38,0.56,M5V,5.53,2.03,0.83
0.87,0.28,0.6,M5V,5.61,2.88,0.85
0.83,0.24,0.6,M5V,4.43,2.3,0.85
0.94,0.31,0.63,M4V,7.11,3.7,0.89
0.9,0.31,0.59,M4V,6.5,3.42,0.88
0.92,0.28,0.63,M4V,7.12,3.22,0.87
0.82,0.27,0.56,M5V,5.9,4.39,0.88
0.83,0.28,0.56,M4V,4.88,3.22,0.86
0.9,0.28,0.62,M3V,7.28,4.31,0.91
0.85,0.39,0.47,M3V,5.84,4.14,0.92
0.85,0.31,0.54,M5V,5.8,3.19,0.85
0.91,0.25,0.66,M3V,6.39,4.67,0.9
0.81,0.25,0.57,M3V,4.7,3.43,0.91
0.86,0.26,0.6,M3V,6.26,4.72,0.89
0.91,0.3,0.61,M4V,6.76,3.63,0.86
0.94,0.34,0.59,M6V,7.13,2.65,0.81
0.83,0.28,0.55,M5V,5.56,4.16,0.87
0.93,0.33,0.6,M6V,5.98,1.87,0.81
0.89,0.27,0.62,M4V,6.84,3.61,0.89
0.81,0.26,0.55,M4V,4.42,2.63,0.86
0.96,0.32,0.64,M6V,5.87,1.87,0.78
0.91,0.4,0.51,M5V,5.98,2.9,0.84
0.87,0.25,0.62,M4V,6.37,4.59,0.88
0.89,0.3,0.59,M4V,6.21,4.37,0.88
0.92,0.29,0.63,M4V,6.5,3.16,0.89
0.88,0.27,0.62,M4V,7.49,3.65,0.88
0.84,0.3,0.54,M6V,4.42,1.59,0.82
0.82,0.26,0.56,M4V,5.11,3.53,0.88
0.85,0.28,0.57,M5V,5.72,3.13,0.87
0.85,0.24,0.61,M4V,5.47,3.52,0.87
0.89,0.31,0.58,M5V,6.06,3.29,0.86
0.89,0.38,0.51,M6V,5.25,2.28,0.82
0.9,0.33,0.57,M5V,5.76,1.87,0.83
0.91,0.3,0.61,M6V,5.31,2.18,0.82
0.9,0.31,0.59,M5V,5.9,2.99,0.83
0.91,0.33,0.59,M5V,5.67,2.3,0.83
0.84,0.28,0.56,M5V,5.62,3.97,0.85
0.86,0.32,0.54,M5V,5.63,3.46,0.86
0.88,0.27,0.6,M4V,5.15,3.66,0.89
0.89,0.31,0.58,M5V,5.65,2.27,0.83
0.86,0.34,0.52,M6V,4.44,2.37,0.81
0.89,0.23,0.66,M3V,6.15,4.77,0.92
0.87,0.26,0.6,M5V,6.67,3.04,0.83
0.99,0.36,0.62,M7V,5.29,1.25,0.75
0.82,0.24,0.57,M5V,4.73,3,0.87
0.89,0.3,0.59,M5V,4.69,2.35,0.83
0.98,0.38,0.61,M7V,4.22,1.71,0.77
0.85,0.29,0.56,M5V,5.85,3.11,0.87
0.88,0.3,0.59,M5V,5.11,2.17,0.84
0.89,0.22,0.67,M5V,9.44,4.89,0.86
0.91,0.3,0.61,M5V,6.57,2.96,0.83
0.83,0.26,0.56,M5V,4.7,2.73,0.85
0.81,0.22,0.59,M4V,5.13,4.05,0.9
0.95,0.34,0.6,M5V,7.67,2.41,0.82
0.82,0.24,0.58,M3V,4.82,3.35,0.91
0.83,0.25,0.59,M5V,5.7,4.04,0.87
0.82,0.24,0.58,M4V,5.72,4.04,0.88
0.87,0.31,0.57,M5V,5.51,2.71,0.85
0.82,0.26,0.56,M5V,5.18,2.51,0.84
0.83,0.27,0.56,M3V,4.99,3.56,0.92
0.9,0.3,0.6,M5V,6.53,3.87,0.86
0.77,0.22,0.55,M5V,4.83,3.34,0.83
0.85,0.24,0.61,M4V,6.34,3.9,0.9
0.8,0.29,0.51,M4V,4.7,3.83,0.9
0.86,0.28,0.58,M4V,4.7,3.95,0.91
0.83,0.21,0.62,M3V,6.17,4.79,0.92
0.84,0.25,0.59,M5V,5.84,4.22,0.88
0.89,0.26,0.63,M4V,5.87,4.36,0.89
0.88,0.29,0.59,M4V,6.1,3.02,0.89
0.9,0.26,0.63,M3V,6.9,4.4,0.91
0.89,0.31,0.58,M4V,5.64,3.03,0.86
0.72,0.21,0.51,M5V,3.36,1.94,0.86
0.86,0.24,0.62,M3V,6.02,3.86,0.92
0.88,0.28,0.6,M5V,6.5,3.1,0.84
0.96,0.37,0.59,M6V,6.44,2.48,0.8
0.85,0.24,0.61,M2V,5.43,4.26,1.02
0.86,0.28,0.59,M6V,5.36,2,0.82
0.83,0.23,0.6,M6V,4.56,2.13,0.82
0.78,0.24,0.54,M3V,4.55,2.96,0.85
0.86,0.29,0.57,M4V,5.69,4.09,0.88
0.86,0.26,0.6,M4V,6.13,4.21,0.87
0.83,0.19,0.64,M3V,5.26,4.07,0.9
0.87,0.32,0.55,M5V,5.35,2.09,0.83
0.82,0.27,0.56,M5V,6.4,3.95,0.86
0.92,0.29,0.63,M5V,7.1,3.24,0.87
0.9,0.25,0.66,M2V,7.79,4.73,0.92
0.91,0.36,0.55,M6V,6.57,2.86,0.82
0.87,0.29,0.58,M6V,5.35,2.94,0.81
0.89,0.3,0.59,M5V,5.72,3.58,0.84
0.96,0.36,0.6,M6V,5.9,2.49,0.79
0.89,0.31,0.58,M7V,4.6,1.4,0.79
0.87,0.29,0.59,M5V,5.3,3.46,0.83
0.81,0.27,0.54,M5V,4.51,2.08,0.85
0.84,0.28,0.56,M4V,6.94,4.57,0.9
0.95,0.35,0.6,M7V,5.32,1.9,0.77
0.86,0.16,0.7, K7V,5.87,5.05,1.03
0.97,0.38,0.59,M6V,5.8,2.19,0.82
0.85,0.32,0.54,M5V,5.5,2.34,0.83
0.85,0.26,0.59,M3V,5.13,3.87,0.92
0.86,0.29,0.57,M4V,6.42,3.33,0.87
0.83,0.28,0.55,M5V,6.15,3.5,0.85
0.93,0.36,0.57,M5V,6.31,2.93,0.82
1.14,0.4,0.73,M7V,7.74,2.09,0.73
0.87,0.3,0.56,M6V,5.27,2.29,0.82
0.8,0.24,0.56,M3V,5.07,3.99,0.92
0.85,0.32,0.54,M6V,5.8,2.94,0.83
0.92,0.29,0.63,M5V,8.69,3.83,0.85
0.84,0.27,0.56,M4V,4.89,3.67,0.85
0.9,0.34,0.55,M6V,4.57,2.23,0.8
0.92,0.35,0.57,M6V,5.42,2.29,0.8
0.88,0.28,0.6,M6V,4.97,2.65,0.8
0.86,0.26,0.6,M3V,6.04,4.1,0.91
0.88,0.25,0.63,M3V,5.58,4.14,0.93
0.9,0.28,0.62,M5V,6.53,3.33,0.85
0.88,0.29,0.58,M4V,5.47,3.39,0.88
0.85,0.3,0.55,M5V,5.54,3.1,0.85
0.9,0.27,0.62,M3V,7.39,4.66,0.94
0.81,0.22,0.58,M4V,5.24,4.07,0.9
0.93,0.3,0.64,M6V,5.73,2.21,0.82
0.99,0.34,0.64,M6V,7.66,2.77,0.82
0.86,0.33,0.53,M4V,6.71,3.8,0.88
0.82,0.26,0.56,M5V,5.5,3.83,0.87
0.88,0.32,0.56,M5V,6.21,2.71,0.84
0.88,0.3,0.59,M5V,7.56,3.75,0.87
0.88,0.28,0.6,M4V,6.36,3.23,0.88
0.88,0.28,0.61,M5V,5.95,2.8,0.85
0.88,0.32,0.55,M6V,5.19,2.81,0.85
0.89,0.24,0.65,M5V,4.8,3.2,0.87
0.93,0.41,0.52,M7V,5.28,1.47,0.79
0.93,0.31,0.62,M4V,7.1,3.98,0.89
0.93,0.3,0.63,M4V,7.2,4.34,0.91
0.9,0.29,0.61,M5V,5.35,2.49,0.82
