Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
7.39,10,8.82,M3V ,4.28,3.7,0.93,-0.13
9.18,10.28,9.84,M4V ,6.09,3.04,0.87,0.21
8.09,9.53,8.44,M4V    ,4.01,2.46,0.89,-0.2
6.73,8.28,7.52,M3V      ,4.61,3.55,0.92,-0.05
6.76,8.87,7.96,M4V      ,3.39,2.63,0.86,-0.39
9.15,11.27,10.17,M5V ,5.67,2.3,0.83,0.16
7.18,8.05,7.54,M3V    ,4.03,3.31,0.91,-0.2
8.01,9.74,9.22,M5V    ,4.98,2.12,0.85,0.03
5.87,7.28,6.72,M5V      ,5.62,3.97,0.85,0.15
7.9,9.2,8.76,M5V ,5.63,3.46,0.86,0.15
8.2,10.12,9.63,M5V ,6.79,3.74,0.87,0.28
5.87,7.21,6.98,M4V    ,5.55,3.46,0.89,0.14
9.1,10.27,9.84,M5V ,6.66,3.34,0.84,0.27
8.78,9.46,9.18,M5V    ,4.87,1.94,0.82,0.01
7.03,8.64,8.42,M4V    ,5.15,3.66,0.89,0.07
8.84,10.23,9.65,M5V      ,5.65,2.27,0.83,0.15
8.55,10.72,9.85,M6V ,4.44,2.37,0.81,-0.09
8.02,9.29,8.99,M4V ,6.87,3.95,0.89,0.28
9.57,11.04,9.88,M5V ,5.06,2.04,0.84,0.05
7.5,9.33,8.62,M5V      ,3.33,1.52,0.81,-0.41
7.36,8.66,8.38,M3V ,6.15,4.77,0.92,0.22
8.1,9.56,9.07,M5V ,5.01,3.23,0.84,0.04
8.77,10.12,9.65,M5V ,6.67,3.04,0.83,0.27
9.15,9.8,9.45,M5V ,5.91,3.23,0.85,0.19
6.18,7.82,7.59,M3V    ,4.22,3.13,0.91,-0.15
9.72,10.89,10.03,M7V ,5.29,1.25,0.75,0.09
9.36,10.55,9.79,M8/9V    ,4.53,0.89,0.73,-0.07
7.74,9.61,9.17,M6V ,6.34,2.14,0.82,0.24
8.43,9.37,8.47,M5V      ,4.73,3,0.87,-0.02
8.97,10.53,9.64,M4V    ,6.7,3.59,0.86,0.27
8.63,10.79,9.65,M5V    ,5.97,2.61,0.86,0.2
4.36,6.95,5.77,M3V      ,4.65,4.89,0.97,-0.04
9.26,10.9,9.85,M5V    ,4.69,2.35,0.83,-0.03
8.97,9.83,9.27,M6V    ,4.91,1.62,0.81,0.02
8.33,9,8.43,M2V      ,1.81,1.58,0.96,-1.01
8.28,9.96,8.77,M4V    ,3.88,2.48,0.88,-0.24
8.49,10.35,9.81,M7V ,4.22,1.71,0.77,-0.15
7.28,9.12,8.28,M5V    ,3.96,2.34,0.85,-0.22
7.87,9.12,8.72,M4V    ,5.63,2.5,0.85,0.15
7.87,9.18,8.66,M6V ,5.25,1.67,0.81,0.09
7.72,9.09,8.82,M5V    ,5.85,3.11,0.87,0.18
7.83,9.92,8.81,M4V      ,4.43,2.95,0.87,-0.09
9.23,10.14,9.71,M5V ,5.11,2.17,0.84,0.06
8.54,10.09,9.52,M5V    ,3.69,1.6,0.84,-0.3
6.94,8.76,7.94,M3V    ,3.21,2.35,0.91,-0.45
8.57,9.35,8.65,M5V ,6.47,3.56,0.87,0.25
6.97,9.14,8.04,M5V    ,9.44,4.89,0.86,0.17
5.98,7.99,7.37,M4V      ,4.22,2.78,0.87,-0.15
8.14,9.53,9.07,M5V ,5.94,2.84,0.84,0.19
8.47,9.43,8.8,M3V      ,4.31,3.21,0.91,-0.12
7.19,8.84,8.26,M4V    ,2.88,1.96,0.87,-0.57
7.95,9.77,9.27,M5V ,6.57,2.96,0.83,0.26
7.89,9.28,9.04,M5V ,5,2.91,0.87,0.04
8.07,8.96,8.51,M6V      ,7.66,2.97,0.83,0.3
6.94,8.42,8.18,M4V      ,3.53,2.76,0.89,-0.35
7.56,9.55,8.51,M4V      ,5.43,3.14,0.87,0.12
6.93,8.69,8.21,M5V      ,5.03,2.77,0.87,0.04
7.52,9.86,8.95,M7V    ,6.4,2.07,0.79,0.25
7.33,8.54,8.31,M5V    ,4.7,2.73,0.85,-0.03
7.74,9.03,8.76,M5V ,4.69,1.98,0.85,-0.03
6.44,8.79,7.92,M4V    ,5.56,2.43,0.86,0.14
6.52,7.69,7.08,M4V ,5.13,4.05,0.9,0.06
6.48,8.06,7.08,M5V ,5.22,3.62,0.87,0.08
7.1,9.19,8.42,M5V      ,4.72,1.8,0.84,-0.02
8.39,10.02,9.03,M4V ,3.92,2.79,0.89,-0.23
7.69,9.46,8.78,M4V    ,6.88,3.09,0.86,0.28
7.46,9.67,8.93,M4V ,4.83,2.71,0.87,0
7.5,9.72,8.93,M5V      ,5.17,2.34,0.83,0.07
5.98,7.78,7.35,M5V    ,6.94,4.14,0.85,0.28
5.88,7.04,6.42,M3V    ,6.53,4.62,0.91,0.26
9.1,10.56,9.38,M4V      ,3.38,1.79,0.84,-0.4
8.25,9.62,8.96,M4V    ,3.03,2.34,0.88,-0.52
6.93,8.75,8,M6V ,5.05,2.46,0.8,0.05
7.7,8.97,8.06,M4V    ,3.04,2.38,0.88,-0.51
8.58,10.37,9.5,M5V ,7.67,2.41,0.82,0.3
7.22,8.58,7.97,M4V      ,4.66,2.99,0.87,-0.04
6.74,7.79,7.51,M3V      ,4.82,3.35,0.91,0
6.08,8.01,7.51,M3V      ,4.87,3.44,0.91,0.01
7.68,9.48,8.89,M5V      ,4.65,2.02,0.82,-0.04
7.41,8.96,8.07,M5V      ,5.7,4.04,0.87,0.16
7.6,9.11,8.83,M3V ,6.97,4.14,0.9,0.29
